BuildingName,Address
"Entrepot Metro Saint Etienne Bureaux","38 Rue des 3 Glorieuses 42000 ST ETIENNE"
"Entrepot Metro Clermont Ferrand","28 boulevard Louis Chartoire ZI de la Combaude Sud 63000  CLERMONT-FERRAND"
"Entrepot Metro Strasbourg","Z.A 37 rue des Tuileries 67460 SOUFFELWEEYERSHEIM"
"Entrepot Metro Strasbourg Bureaux","Z.A 37 rue des Tuileries 67460 SOUFFELWEEYERSHEIM"
"Entrepot Metro Narbonne","Avenue de Croix Sud 11100 NARBONNE"
"Entrepot Metro Perpignan","Z.A.C. Saint Charles 550 avenue de Milan 66000 PERPIGNAN"
"Entrepot Metro Limonest","Parc d'Activit? de Limonest Chemin de la Bruyere 69760 LIMONEST"
"Entrepot Metro Limonest Bureaux","Parc d'Activit? de Limonest Chemin de la Bruyere 69760 LIMONEST"
"Entrepot Metro Auxerre Moneteau","Parc d'Activit?s des Terres du Canada 89470 MONETEAU"
"Entrepot Metro Troyes","Les Terasses de Baires 10410 SAINT PARRES AUX TERTRES"
"Entrepot Metro Avignon","March? d'Inter?t National AVIGNON SUD 135, avenue Pierre Semard 84000 AVIGNON"
"Entrepot Metro Avignon Bureaux","March? d'Inter?t National AVIGNON SUD 135, avenue Pierre Semard 84000 AVIGNON"
"Entrepot Metro Chambery Voglans","Parc d'Activit? La Dent du Chat 73420 VOGLANS"
"Entrepot Metro Albertville","Zone d'Activit? des Vernes 33 rue Robert Piddat 73200 ALBERTVILLE"
"Entrepot Metro Valence","P?le d'Activit?s Briffaut Est avenue Maurice Simonet BP88 26903 VALENCE CEDEX 9"
"Entrepot Metro Grenoble Sassenage","Z.I. l'Argenti?re 8, rue Fran?ois Blumet 38360 SASSENAGE"
"Entrepot Metro Annecy","Z.A.C des romains Lieu-Dit La Salle All?e Jean Mermoz B.P. 9 74961 CRAN GEVRIER"
"Entrepot Metro Vaulx En Velin","Z.I. les Rubines 2 avenue Charles de Gaulle BP150 69512 VAULX EN VELIN Cedex"
"Entrepot Metro Frejus","ZI du capitou de l'Esterel 834 avenue Jean Lachenaud 83600 FREJUS"
"Entrepot Metro Frejus Bureaux","ZI du capitou de l'Esterel 834 avenue Jean Lachenaud 83600 FREJUS"
"Entrepot Metro Saint Quentin","Z.I. Le Royeux 02430 GAUCHY"
"Entrepot Metro Chamonix Passy","ZI des Raches PAE du Mont Blanc 195 rue de l'Adret 74190 PASSY"
"Entrepot Metro Annemasse","Rue du bois de la rose 74100 VILLE LA GRAND"
"Entrepot Metro Chennevieres","8, Rue Gay Lussac 94430  CHENNEVIERES SUR MARNE"
"Entrepot Metro Agen","All?e des Riols Lieu dit La Capelette 47000 AGEN"
"Entrepot Metro Toulouse","Z.I. La Glaciere Impasse Pierre Camo BP 42142 31018 TOULOUSE Cedex"
"Entrepot Metro Beziers","ZA Parc Actipolis Avenue du Viguier 34420 VILLENEUVE LES BEZIERS"
"Entrepot Metro Bordeaux","ZAC de Gros Chemin de Labarde BP 73 33083 BORDEAUX Cedex"
"Entrepot Metro Gradignan","17 avenue de l'Europe ZA de Bersol 33170 GRADIGNAN"
"Entrepot Metro Cannes","Rue de la Praderie 06150 CANNES LA BOCCA"
"Entrepot Metro Cannes Bureaux","Rue de la Praderie 06150 CANNES LA BOCCA"
"Entrepot Metro Nice","280-288 route de Grenoble 06200 NICE"
"Entrepot Metro Montpellier","3274 Avenue Etienne Mehul 34070 MONTPELLIER"
"Entrepot Metro Venelles","944 rue de la Gare 13770 VENELLES"
"Entrepot Metro Les Pennes Mirabeau","Square du General De Gaulle 13757 LES PENNES MIRABEAU"
"Entrepot Metro Marseille La Valentine","ZAC La Valentine Montee du Commandant De Robien 13011 MARSEILLE"
"Entrepot Metro Nimes","Z.A. Euro 2000 30132 CAISSARGUES"
"Entrepot Metro Nanterre Formation","ENTREPOT 5 rue des Grands Pres 92024 NANTERRE Cedex"
"Entrepot Metro Ales","1173 Ancien Chemin de Mons 30100 ALES"
"Entrepot Metro Carcassonne","460 rue Gustave Eiffel 11000 CARCASSONNE"
"Plateforme Metro Rungis","25 Rue des Antilles B?timent I2 ? zone des entrep?ts 94538 RUNGIS CEDEX"
"Siege Metro France","METRO France ZA. du petit Nanterre 5 Rue des Grands Pres 92000 NANTERRE"
"Entrepot Metro Lorient Lanester","Route de Kerviec Zone de Lann Sevelin 56600 LANESTER"
"Entrepot Metro Vannes","Lieu dit du Chapeau Rouge 56000 VANNES"
"Entrepot Metro Mulhouse","Rue des Griottes Zone Industrielle 68260 KINGERSHEIM"
"Entrepot Metro Mulhouse Bureaux","Rue des Griottes Zone Industrielle 68260 KINGERSHEIM"
"Entrepot Metro Colmar","Z.I. Nord 45, rue Denis Papin 68000 COLMAR"
"Entrepot Metro Paris 18 La Chapelle","55 ter Rue de la Chapelle 75018 PARIS"
